iter	RMSE
192	3833.639649
193	3830.690553
194	3828.458082
195	3826.780485
196	3824.05465
197	3820.965407
198	3818.789741
199	3813.517876
200	3810.409003
201	3808.33984
202	3805.071814
203	3802.027169
204	3798.507504
205	3796.964026
206	3794.23965
207	3791.611442
208	3784.822079
209	3782.88627
210	3778.713647
211	3774.990666
212	3772.715181
213	3770.318694
214	3768.525355
215	3765.707439
216	3761.47451
217	3757.22515
218	3752.028981
219	3749.030473
220	3746.083315
221	3744.189321
222	3742.863292
223	3740.998704
224	3734.955395
225	3734.002736
226	3731.627841
227	3727.830135
228	3723.960772
229	3721.328168
230	3719.277467
231	3713.382884
232	3709.102297
233	3703.753225
234	3700.451925
235	3698.477125
236	3695.642749
237	3692.473104
238	3690.805283
239	3688.438209
240	3686.479418
241	3685.251892
242	3683.633303
243	3682.282961
244	3680.104379
245	3676.158722
246	3674.352826
247	3671.139682
248	3666.615811
249	3661.628244
250	3659.373499
251	3656.849372
252	3654.498914
253	3650.372009
254	3647.061464
255	3644.934069
256	3643.500229
257	3639.287043
258	3637.404029
259	3633.362043
260	3631.71731
261	3628.134481
262	3625.270057
263	3623.523575
264	3621.326962
265	3620.068825
266	3617.059203
267	3613.756665
268	3611.211351
269	3609.719588
270	3606.990017
271	3602.043734
272	3599.811537
273	3595.034446
274	3592.085984
275	3589.29773
276	3586.180748
277	3582.470974
278	3580.61837
279	3577.516724
280	3575.205555
281	3571.64007
282	3568.99698
283	3566.065438
284	3562.418009
285	3560.160615
286	3554.329274
287	3551.52025
288	3548.474209
289	3545.499724
290	3542.749754
291	3539.724502
292	3538.416477
293	3537.175468
294	3535.045737
295	3531.571598
296	3529.966198
297	3528.787123
298	3526.096283
299	3523.696128
300	3521.236689
301	3519.197422
302	3517.3893
303	3515.878143
304	3513.900708
305	3511.130134
306	3508.762026
307	3506.617983
308	3504.793296
309	3502.876108
310	3499.39873
311	3498.266769
312	3495.709067
313	3494.109382
314	3491.418235
315	3489.432975
316	3485.939069
317	3485.057035
318	3483.841764
319	3481.806031
320	3478.427025
321	3476.497388
322	3473.84332
323	3469.786662
324	3468.50348
325	3465.075631
326	3461.803437
327	3460.332292
328	3455.952103
329	3454.516371
330	3451.973697
331	3450.357774
332	3449.203059
333	3447.211295
334	3445.706275
335	3444.236734
336	3442.371726
337	3440.687751
338	3439.832185
339	3438.412966
340	3437.08962
341	3434.685334
342	3433.170204
343	3430.981064
344	3429.605777
345	3427.398444
346	3425.858576
347	3423.86096
348	3423.342226
349	3420.991944
350	3419.31704
351	3418.076673
352	3416.499861
353	3412.909979
354	3410.854115
355	3409.544732
356	3408.496641
357	3407.245639
358	3405.725515
359	3403.732692
360	3400.672104
361	3399.159763
362	3398.11095
363	3396.885446
364	3395.811538
365	3394.673012
366	3393.539848
367	3392.477161
368	3391.021957
369	3389.515893
370	3386.776609
371	3384.11475
372	3382.807766
373	3380.247774
374	3379.172336
375	3377.59701
376	3376.030889
377	3373.814868
378	3372.172723
379	3370.96565
380	3368.892853
381	3367.630717
382	3364.494743
383	3363.251206
384	3362.395018
385	3359.757009
386	3356.817094
387	3355.478497
388	3352.848493
389	3350.156561
390	3347.441134
391	3345.909007
392	3343.751458
393	3342.054944
394	3340.006659
395	3339.355111
396	3338.316819
397	3337.412037
398	3336.573199
399	3335.602293
400	3334.960862
401	3333.282609
402	3331.603651
403	3330.523241
404	3328.249032
405	3327.41173
406	3325.666278
407	3324.096405
408	3322.125655
409	3321.209125
410	3320.243004
411	3318.80469
412	3315.872952
413	3314.821474
414	3313.606132
415	3311.346755
416	3310.627873
417	3309.323732
418	3307.679876
419	3306.428908
420	3304.958368
421	3303.487578
422	3302.109614
423	3299.417003
424	3297.494195
425	3295.610054
426	3294.732488
427	3293.467192
428	3291.981815
429	3290.579598
430	3289.171959
431	3287.94381
432	3286.922214
433	3284.979093
434	3283.20725
435	3282.401786
436	3281.104938
437	3280.315182
438	3278.695492
439	3277.83117
440	3276.603136
441	3275.859393
442	3274.772941
443	3273.813838
444	3271.33055
445	3270.621978
446	3269.721156
447	3268.710523
448	3266.531092
449	3264.803779
450	3263.534542
451	3262.372845
452	3258.475707
453	3255.904348
454	3255.026145
455	3252.985909
456	3251.4696
457	3250.852902
458	3247.526718
459	3245.979708
460	3243.278581
461	3242.734188
462	3241.57127
463	3240.991439
464	3238.597865
465	3237.597592
466	3235.780081
467	3234.100413
468	3232.923809
469	3230.680098
470	3228.724285
471	3227.763911
472	3226.582545
473	3225.51196
474	3223.588683
475	3222.340676
476	3221.587212
477	3220.508526
478	3219.644878
479	3217.938209
480	3216.862165
481	3215.689758
482	3215.22465
483	3213.081223
484	3211.555067
485	3209.996848
486	3209.106294
487	3207.856072
488	3207.230134
489	3205.696596
490	3204.665584
491	3203.438099
492	3202.651839
493	3202.213786
494	3198.778851
495	3196.435866
496	3195.568232
497	3194.35272
498	3193.554937
499	3192.598587
